,importance
pm10_roll3_mean,0.3039656543907082
co,0.061072595979924135
co_roll24_mean,0.05240428571846749
no2_roll24_mean,0.04531390751092812
no2_roll24_std,0.03433184886000843
co_roll24_std,0.03350550573664339
day_sin,0.025412452283261836
aqi_roll24_mean,0.02456527526397808
pm10_roll24_std,0.01991823485592225
pm10_roll12_std,0.019768082755229587
pm2_5_roll24_std,0.01817155421177321
pm10_roll24_mean,0.017470459873880226
no2_roll12_mean,0.016703791496794473
co_roll12_mean,0.01498308486915188
day_cos,0.01451077038943698
pm10_roll12_mean,0.014345950645436239
pm10_mom24,0.014217402127278352
aqi_roll24_std,0.013919150782445036
pm2_5_roll24_mean,0.013705361748670339
no2_roll12_std,0.013528959095499001
co_roll12_std,0.012682902276513646
no2_roll6_mean,0.011535286033524971
pm10_roll6_mean,0.010566058679389222
no2,0.010337397160940457
no2_roll3_mean,0.009333324841276313
co_roll6_mean,0.009324217668011723
aqi_roll12_mean,0.009131584232520801
pm2_5_roll12_std,0.008975053828837338
pm2_5_roll12_mean,0.008037081093839119
co_roll3_mean,0.007776765232304748
no2_roll6_std,0.007271412443693184
pm2_5,0.006307175899744902
pm2_5_roll3_mean,0.006127755760284124
pm2_5_roll6_std,0.006103445034847326
co_roll6_std,0.006030449613237357
pm2_5_roll6_mean,0.005869482332309525
pm10_roll6_std,0.005369681673979695
aqi_roll12_std,0.0051899126983593795
pm10_diff1,0.0051695013339751765
pm2_5_diff1,0.0049650446527518275
no2_diff6,0.0049589927610330705
no2_diff3,0.004836053422715075
hour_sin,0.004471900320042932
hour_cos,0.004348048647503072
no2_diff1,0.004294931858649933
pm10_diff6,0.004124379620171862
aqi_roll6_mean,0.003831104831929049
pm2_5_diff6,0.0035706692852005414
no2_roll3_std,0.0035252561018165843
co_roll3_std,0.0034325064751684776
co_diff6,0.0033854902719840587
pm2_5_roll3_std,0.0033848019093386714
pm10_roll3_std,0.003377988826566364
pm10_diff3,0.0032647381749356247
co_diff1,0.0027393330645155587
co_diff3,0.002447750675200825
pm2_5_diff3,0.002446542132466419
aqi_roll3_mean,0.002414073432930359
pm10_absdiff3,0.0019391644892164713
pm10_absdiff1,0.0019153389862712588
aqi_roll6_std,0.0012250817305555074
aqi,0.0009127545697944469
aqi_diff6,0.0005774877556729631
aqi_roll3_std,0.00025771957362459493
aqi_diff3,0.0002528565218706827
aqi_diff1,0.00014717347504748142
